输入,输出,置信度分数
急！查询账户开户信息,账户查询类,0.95
在吗？帮我看看活期账户还有多少钱！,账户查询类,0.95
在吗？活期账户为什么被冻结了谢谢,账户查询类,0.95
麻烦我的储蓄卡怎么少了钱谢谢,账户查询类,0.9
需要储蓄卡为什么被冻结了,账户查询类,0.95
在吗？我想查一下活期账户余额,账户查询类,0.95
急！我想查一下活期账户余额,账户查询类,0.95
需要我的工资卡怎么少了钱,账户查询类,0.95
你好，我想查一下银行卡余额在线等,账户查询类,0.98
能不能查询银行卡开户信息在线等,账户查询类,0.95
可以能帮我查下账户吗麻烦了,账户查询类,0.95
想要帮我看看储蓄卡还有多少钱,账户查询类,0.95
可以能帮我查下银行卡吗？,账户查询类,0.95
能帮我查下工资卡吗在线等,账户查询类,0.95
急！工资卡明细查询,账户查询类,0.95
需要银行卡的账户余额是多少,账户查询类,0.95
需要查询一下我的银行卡谢谢,账户查询类,0.95
能不能查询一下我的银行卡？,账户查询类,0.9
请问能帮我查下工资卡吗麻烦了,账户查询类,0.9
能不能我要查定期账户流水！,账户查询类,0.95
急！如何设置跨行转账限额,转账汇款类,0.95
你好，怎么给同行转钱！,转账汇款类,0.95
能告诉我我想给他人汇款谢谢,转账汇款类,0.95
能告诉我如何设置他人转账限额,转账汇款类,0.9
我要转账给境外急用,转账汇款类,0.95
麻烦问下如何同行转账,转账汇款类,0.95
你好，我想给他人汇款急用,转账汇款类,0.95
你好，转账ATM没到账！,转账汇款类,0.95
想问一下怎么给他人转钱！,转账汇款类,0.95
咨询他人可以转多少钱急用,转账汇款类,0.9
境外转账限额是多少在线等,转账汇款类,0.95
请问转账到实时需要多久,转账汇款类,0.95
请教实时转账手续费多少在线等,转账汇款类,0.95
咨询实时转账记录查询,转账汇款类,0.9
转账到网银需要多久！,转账汇款类,0.95
能告诉我ATM转账失败怎么办？,转账汇款类,0.95
请问我要取消刚才的转账？,转账汇款类,0.95
急！转账大额没到账？,转账汇款类,0.95
我想给实时汇款谢谢,转账汇款类,0.95
能告诉我ATM转账记录查询,转账汇款类,0.9
急！信用卡分期什么时候到急,信用卡服务类,0.95
咨询下信用卡账单失败？,信用卡服务类,0.9
想了解还款信用卡积分？,信用卡服务类,0.9
查账单信用卡手续费在线等,信用卡服务类,0.95
急！信用卡还款查询谢谢,信用卡服务类,0.95
信用卡申请失败谢谢,信用卡服务类,0.95
急！信用卡激活多少钱急,信用卡服务类,0.95
信用卡还款失败！,信用卡服务类,0.95
你好，我的信用卡查账单？,信用卡服务类,0.95
咨询下信用卡还款多少钱？,信用卡服务类,0.95
请问修改密码信用卡积分急,信用卡服务类,0.9
急！信用卡挂失怎么办理？,信用卡服务类,0.95
问一下信用卡查账单日期在线等,信用卡服务类,0.95
信用卡临时额度什么时候到在线等,信用卡服务类,0.95
帮忙查账单信用卡积分？,信用卡服务类,0.95
麻烦挂失信用卡权益麻烦了,信用卡服务类,0.9
挂失信用卡积分急,信用卡服务类,0.95
咨询下信用卡挂失多少钱麻烦了,信用卡服务类,0.95
麻烦信用卡还款日期谢谢,信用卡服务类,0.95
你好，年费信用卡额度麻烦了,信用卡服务类,0.95
住房贷款额度有多少！,贷款咨询类,0.95
想咨询消费贷款对比麻烦了,贷款咨询类,0.95
消费贷款计算器在线等,贷款咨询类,0.95
问一下如何办理车贷款麻烦了,贷款咨询类,0.95
帮忙看看我的装修贷款进度谢谢,贷款咨询类,0.95
你好，经营贷款对比？,贷款咨询类,0.95
想咨询我的个人贷款进度谢谢,贷款咨询类,0.95
问一下如何办理小额贷款谢谢,贷款咨询类,0.95
可以大额贷款还款方式？,贷款咨询类,0.95
请问公积金贷款要什么资料急用,贷款咨询类,0.95
问一下我的大额贷款进度,贷款咨询类,0.95
能不能住房贷款需要什么条件,贷款咨询类,0.95
你好，消费贷款需要什么条件,贷款咨询类,0.95
如何办理教育贷款麻烦了,贷款咨询类,0.95
你好，如何办理消费贷款？,贷款咨询类,0.95
装修贷款利率是多少急用,贷款咨询类,0.95
问一下如何办理小额贷款谢谢,贷款咨询类,0.95
帮忙看看住房贷款额度有多少！,贷款咨询类,0.95
你好，教育贷款划算吗！,贷款咨询类,0.9
装修贷款要什么资料在线等,贷款咨询类,0.95
保险净值查询！,投资理财类,0.95
你好，国债起购金额靠谱吗,投资理财类,0.9
想了解查询我的大额存单麻烦了,投资理财类,0.9
想了解如何购买理财？,投资理财类,0.95
请问结构性存款理财产品推荐麻烦了,投资理财类,0.95
你好，推荐稳健的国债！,投资理财类,0.95
财富管理适合我吗麻烦了,投资理财类,0.9
你好，智能投顾起购金额谢谢,投资理财类,0.95
问下如何购买保险靠谱吗,投资理财类,0.95
结构性存款收益率怎么样靠谱吗,投资理财类,0.95
想问推荐稳健的财富管理,投资理财类,0.9
想问外汇风险大吗？,投资理财类,0.95
想问推荐稳健的大额存单谢谢,投资理财类,0.95
你好，外汇起购金额！,投资理财类,0.95
帮我看看大额存单手续费多少,投资理财类,0.95
咨询保险适合我吗麻烦了,投资理财类,0.9
问下如何购买大额存单？,投资理财类,0.95
帮我看看股票基金起购金额？,投资理财类,0.95
想了解财富管理和股票基金哪个好？,投资理财类,0.95
能给我介绍定期存款风险大吗？,投资理财类,0.9
