id,scene,expected,actual,decision_correct,schema_ok,elapsed_seconds,validation_errors,error
T01,普通低风险客户,PASS,PASS,True,True,7.67,,
T02,高收入低负债客户,PASS,PASS,True,True,12.03,,
T03,DTI恰好40%,PASS,PASS,True,True,17.73,,
T04,DTI略高于40%,MANUAL_REVIEW,MANUAL_REVIEW,True,True,12.34,,
T05,DTI恰好60%,MANUAL_REVIEW,MANUAL_REVIEW,True,True,29.84,,
T06,DTI高于60%,REJECT,REJECT,True,True,4.42,,
T07,最近24个月逾期1次,PASS,PASS,True,True,10.37,,
T08,最近24个月逾期2次,MANUAL_REVIEW,MANUAL_REVIEW,True,True,16.15,,
T09,最近24个月逾期4次,REJECT,REJECT,True,True,10.97,,
T10,最大逾期29天,PASS,PASS,True,True,29.31,,
T11,最大逾期30天,MANUAL_REVIEW,MANUAL_REVIEW,True,True,5.8,,
T12,最大逾期90天,REJECT,REJECT,True,True,25.81,,
T13,近6个月征信查询5次,PASS,PASS,True,True,19.89,,
T14,近6个月征信查询6次,MANUAL_REVIEW,MANUAL_REVIEW,True,True,29.44,,
T15,当前未结清贷款3笔,PASS,PASS,True,True,11.56,,
T16,当前未结清贷款4笔,MANUAL_REVIEW,MANUAL_REVIEW,True,True,28.87,,
T17,就业稳定期11个月,MANUAL_REVIEW,MANUAL_REVIEW,True,True,31.11,,
T18,命中欺诈或黑名单,REJECT,REJECT,True,True,25.69,,
T19,缺少月收入字段,MANUAL_REVIEW,MANUAL_REVIEW,True,True,24.23,,
T20,月收入为非法负数,MANUAL_REVIEW,MANUAL_REVIEW,True,True,37.86,,
